Timestamp,To what extent do you follow the news of the day in general?,What sources do you follow the news of the day?,Province of residence,Living Location,age,gender,Last education degree,How much did you follow the news ten years ago?,"Ten years ago, what sources did you follow the news of the day more?","Apart from news and news programs, what do you follow more in the media?"
05/10/2022 10:56:14,a little,"Iran International, BBC, manoto, Radio Farda, Voice of America, News websites, Instagram, WhatsApp, Twitter",Sistan and Baluchestan,urban,36,male,bachelor's degree,a lot,"Internal television, BBC, Facebook, Twitter","Movie and TV series, documentary programs, comic programs"
05/10/2022 10:56:16,a little,"Iran International, News websites, Twitter",Alborz,urban,36,male,associates degree,a lot,Internal newspapers,"Sports programs, documentary programs"
05/10/2022 10:56:47,very much,"Iran International, BBC, manoto, Radio Farda, Voice of America, News websites, Instagram",Khuzestan,urban,40,male,high school diploma,very much,"BBC, Voice of America, Radio Farda, News websites, other satellite channels, Facebook","Movie & Serial, Lecture / Discussion / Dialogue"
05/10/2022 10:57:01,a little,Instagram,East Azarbaijan,urban,32,male,high school diploma,a lot,"Internal television, BBC, Voice of America","Movie and TV series, other apps"
05/10/2022 10:57:07,a little,"Iran International, BBC, manoto, Instagram",Tehran,urban,30,male,bachelor's degree,little,"Internal newspapers, Voice of America","Movie and TV series, sports programs, documentary programs"
05/10/2022 10:57:20,a little,Instagram,Kordestan,urban,37,male,high school diploma,some,Voice of America,None
05/10/2022 10:58:03,much,"Iran International, BBC, Radio Farda, Instagram, Telegram, Twitter",Esfahan,urban,29,male,bachelor's degree,a lot,"Internal television, Other","Movie and TV series, sports programs, comic programs"
05/10/2022 10:58:17,very much,"Iran International, manoto, Instagram, Telegram",Esfahan,urban,39,female,high school diploma,some,"BBC, Voice of America",None
05/10/2022 10:58:17,a little,"Instagram, Telegram, Other",Qom,urban,40,female,master's degree,some,News websites,"Movie and Serial, Comic Programs, Other Programs"
05/10/2022 10:58:31,very much,Iran International,Kermanshah,urban,31,male,high school diploma,very little,national television,Movie and Serial
05/10/2022 10:58:36,much,"BBC, news websites, Instagram",Tehran,urban,36,male,master's degree,a lot,"Internal newspapers, BBC, News websites, Instagram","Movie and TV series, sports programs"
05/10/2022 10:59:25,a little,"Iran International, BBC, Instagram, Telegram",Tehran,urban,35,male,master's degree,very little,"Internal television, Internal Newspapers",Sports programs
05/10/2022 10:59:33,very much,Other,Fars,rural,30,male,bachelor's degree,not at all,,None
05/10/2022 11:00:01,very much,Telegram,Tehran,urban,38,male,master's degree,a lot,national television,"Movie and Serial, Comic Programs"
05/10/2022 11:00:50,much,"News websites, Instagram, Telegram",Tehran,urban,43,male,bachelor's degree,some,"Internal newspapers, BBC","Movies and TV series, sports programs, comic programs, cooking programs"
05/10/2022 11:01:11,very much,"Iran International, BBC, manoto, Voice of America, Instagram, Telegram, Other",Khorasan Razavi,urban,47,female,bachelor's degree,very little,"Internal television, Blogs","Movie and Serial, Comic Programs"
05/10/2022 11:01:23,very much,"Instagram, Telegram, Twitter, Other",Western Azerbaijan,urban,32,male,associates degree,very much,Other,"Sports Programs, Speech / Discussion / Dialogue"
05/10/2022 11:01:55,very little,Iran International,Kordestan,urban,34,male,bachelor's degree,some,"BBC, Voice of America, Radio Farda","Movies and Serials, Training or Lesson Programs, Documentary Programs, Comic Programs, Cooking Programs"
05/10/2022 11:01:57,very much,Telegram,Alborz,urban,26,male,high school diploma,a lot,national television,"Movie and TV series, sports programs, comic programs"
05/10/2022 11:02:25,much,Iran International,Mazandaran,urban,25,male,associates degree,little,national television,Sports programs
05/10/2022 11:02:39,much,"BBC, manoto, Instagram",Fars,urban,34,male,bachelor's degree,some,"Internal television, News websites","Movie and Serial, Documentary Programs"
05/10/2022 11:02:44,much,"national televisioning, Iran International, BBC, News websites, Instagram, Telegram, Twitter, Other",Western Azerbaijan,urban,35,male,bachelor's degree,some,"Internal newspapers, BBC, Radio, Facebook, Blogs, Other","Movie and Serial, Educational or Teaching Programs, Art Programs, Comic Programs, Cooking Programs, Lecture / Discussion / Dialogue"
05/10/2022 11:03:05,a little,Instagram,Tehran,urban,50,female,bachelor's degree,a lot,Other satellite channels,Movie and Serial
05/10/2022 11:03:28,very much,"national television, manoto, Instagram",Tehran,urban,32,female,no high school diploma,little,national television,Other plans
05/10/2022 11:03:37,very much,"Instagram, Telegram, Other",Tehran,urban,30,male,bachelor's degree,very much,"BBC, Voice of America, Radio, News websites, other satellite channels, others","Sports programs, documentary programs"
05/10/2022 11:04:30,much,"Iran International, BBC, manoto, Radio Farda, Instagram, Twitter",Kohgiloyeh and Boyerahmad,urban,30,male,bachelor's degree,some,"BBC, blogs","Documentary programs, cooking programs, lectures / discussions / conversation"
05/10/2022 11:04:36,very much,"Iran International, BBC, Voice of America",Tehran,urban,30,male,master's degree,little,Facebook,Sports programs
05/10/2022 11:04:54,much,twitter,North Khorasan,urban,29,male,bachelor's degree,some,Other,Documentary programs
05/10/2022 11:05:07,much,"Instagram, Telegram, Twitter",Tehran,urban,38,male,high school diploma,a lot,"News websites, Twitter","Documentary programs, lectures / discussions / conversation"
05/10/2022 11:05:11,very much,Instagram,Gilan,urban,38,male,no high school diploma,very little,national television,"Movie and TV series, sports programs"
05/10/2022 11:05:18,a little,"Instagram, Telegram",Khuzestan,urban,32,male,associates degree,some,national television,Sports programs
05/10/2022 11:05:22,much,"Iran International, BBC, manoto, Voice of America, Instagram",Fars,urban,32,female,bachelor's degree,little,"BBC, news websites, Facebook","Movies and TV series, sports programs, art programs, cooking programs"
05/10/2022 11:05:28,very much,Iran International,Tehran,urban,31,male,bachelor's degree,a lot,"BBC, news websites",Movie and Serial
05/10/2022 11:05:30,much,"Iran International, BBC, Instagram",Esfahan,urban,35,male,master's degree,a lot,"Internal newspapers, BBC, Instagram, Twitter",Sports programs
05/10/2022 11:05:34,much,"BBC, Instagram",Tehran,urban,44,male,bachelor's degree,a lot,"Internal television, BBC, BBC Newspapers, News websites","Movie and TV series, cooking programs"
05/10/2022 11:05:44,very much,"Iran International, manoto, Instagram, Telegram, Twitter",Khuzestan,urban,29,male,bachelor's degree,some,"Facebook, Twitter","Movie and TV series, sports programs, comic programs"
05/10/2022 11:06:12,very much,"Iran International, News websites, Instagram, Twitter",Western Azerbaijan,urban,30,male,bachelor's degree,some,"Internal television, BBC, BBC Newspapers, News websites","Movie and TV series, sports programs, documentary programs"
05/10/2022 11:06:16,little,"Iran International, Radio Farda, Voice of America, Instagram",Chaharmahal va Bakhtiari,urban,30,male,high school diploma,very little,"Internal television, Other","Movie and TV series, sports programs"
05/10/2022 11:06:40,much,BBC,Tehran,urban,46,male,associates degree,some,"Internal television, Internal Newspapers","Artistic programs, documentary programs"
05/10/2022 11:07:49,much,"Iran International, manoto, Instagram",Tehran,urban,43,male,high school diploma,very little,Internal newspapers,Sports programs
05/10/2022 11:07:50,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram",Tehran,urban,38,male,bachelor's degree,a lot,"BBC, Voice of America, Radio Farda","Movie and TV series, art programs, documentary programs"
05/10/2022 11:07:52,much,Telegram,Tehran,urban,44,male,bachelor's degree,a lot,Internal newspapers,Speech / Discussion / Dialogue
05/10/2022 11:08:07,a little,"Iran International, BBC, manoto, Radio Farda, Instagram",Hormozgan,urban,32,male,high school diploma,little,"Internal television, Internal Newspapers, Radioords","Movie and TV series, sports programs"
05/10/2022 11:08:29,very much,"Instagram, Twitter",Golestan,urban,24,male,bachelor's degree,very little,national television,"Sports programs, other programs"
05/10/2022 11:08:50,much,"national televisioning, Internal Newspapers, Iran International, BBC, Radio Fardafarda",Esfahan,urban,22,male,bachelor's degree,not at all,,"Educational or Teaching Programs, Art Programs, Documentary Programs, Speech / Discussion / Dialogue"
05/10/2022 11:09:04,very much,Telegram,Tehran,urban,50,male,bachelor's degree,a lot,national television,Movie and Serial
05/10/2022 11:09:29,very little,Other,Bushehr,urban,42,female,associates degree,little,Other,Movie and Serial
05/10/2022 11:09:29,much,"Iran International, manoto, Radio Farda, Voice of America, other satellite channels, Instagram",Sistan and Baluchestan,urban,33,male,bachelor's degree,little,Other,"Sports Programs, Comic Programs, Speech / Discussion / Dialogue"
05/10/2022 11:09:47,a little,"manoto, Voice of America, Instagram",Esfahan,urban,38,male,master's degree,some,"Voice of America, Radio Farda",Movie and Serial
05/10/2022 11:09:48,very much,"Iran International, Radio Farda, Voice of America, other satellite channels, Instagram",Tehran,urban,32,male,bachelor's degree,some,Facebook,"Educational or Teaching Programs, Speech / Discussion / Dialogue"
05/10/2022 11:10:03,very much,manoto,East Azarbaijan,urban,40,male,high school diploma,very much,Facebook,Documentary programs
05/10/2022 11:10:14,very much,"Iran International, BBC, manoto, News websites, Instagram",Alborz,urban,39,male,master's degree,very much,"Internal newspapers, Voice of America, News websites","Movie and TV series, documentary programs, comic programs"
05/10/2022 11:10:29,much,"Iran International, BBC, manoto, Instagram, Telegram",Semnan,urban,33,male,bachelor's degree,very little,national television,"Movie and Serial, Religious Programs, Comic Programs"
05/10/2022 11:10:31,much,Iran International,Tehran,urban,50,female,high school diploma,some,BBC,Movie and Serial
05/10/2022 11:10:58,much,"Iran International, manoto, Instagram, Telegram",Mazandaran,urban,29,male,master's degree,very little,"Voice and Internal newspapers, BBC, News websites, Facebook","Sports programs, documentary programs"
05/10/2022 11:11:01,much,"Iran International, Instagram, Telegram",Qom,urban,46,male,high school diploma,very little,Other satellite channels,"Movie and TV series, sports programs"
05/10/2022 11:11:05,very much,"Iran International, manoto, Radio Farda, Voice of America, other satellite channels, Instagram, Twitter",Lorestan,urban,28,male,high school diploma,little,"Internal televisioning, Internal Newspapers, News websites","Movies and TV series, art programs, documentary programs, comic programs"
05/10/2022 11:11:09,very much,"Iran International, Other",Tehran,urban,30,male,master's degree,not at all,,Movie and Serial
05/10/2022 11:11:11,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram",Alborz,urban,33,male,high school diploma,a lot,"Voice of America, Instagram","Comic programs, lectures / discussions / conversation"
05/10/2022 11:11:17,very much,BBC,Hormozgan,urban,30,male,bachelor's degree,very much,"BBC, Facebook","Sports programs, comic programs"
05/10/2022 11:11:19,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram",Alborz,urban,33,male,high school diploma,a lot,"Voice of America, Instagram","Comic programs, lectures / discussions / conversation"
05/10/2022 11:12:07,a little,"manoto, Instagram",Alborz,urban,31,male,bachelor's degree,some,national television,Movie and Serial
05/10/2022 11:12:52,much,Instagram,Tehran,urban,38,male,associates degree,some,national television,None
05/10/2022 11:12:59,very much,"Instagram, Telegram, Twitter",Markazi,urban,21,male,associates degree,very much,national television,None
05/10/2022 11:13:24,very much,Instagram,Semnan,urban,20,male,high school diploma,some,Voice of America,Movie and Serial
05/10/2022 11:13:34,much,"Iran International, manoto, Instagram",Gilan,rural,25,male,bachelor's degree,not at all,,Educational programs
05/10/2022 11:13:42,much,Instagram,Chaharmahal va Bakhtiari,rural,28,male,high school diploma,a lot,Instagram,Movie and Serial
05/10/2022 11:13:50,much,"Iran International, manoto, Instagram",Mazandaran,urban,33,male,no high school diploma,some,national television,Sports programs
05/10/2022 11:13:54,much,"Iran International, Telegram",Tehran,urban,32,male,master's degree,some,national television,Educational programs
05/10/2022 11:14:28,much,"Iran International, manoto, Instagram, Telegram",Khuzestan,urban,32,male,high school diploma,a lot,"BBC, Voice of America",Documentary programs
05/10/2022 11:15:23,a little,"BBC, manoto",Tehran,urban,39,male,bachelor's degree,little,national television,"Teaching or Teaching Programs, Comic Programs"
05/10/2022 11:15:32,very much,Voice of America,Khorasan Razavi,urban,32,male,bachelor's degree,a lot,national television,Educational programs
05/10/2022 11:15:47,much,"Iran International, manoto, Instagram, Telegram, WhatsApp, Facebook",Alborz,urban,35,male,master's degree,a lot,"BBC, Voice of America, other satellite channels, Facebook","Movie and TV series, documentary programs, comic programs, cooking programs"
05/10/2022 11:15:50,much,"Iran International, manoto, Radio Farda, Voice of America, Instagram, Telegram, WhatsApp",Golestan,urban,38,male,bachelor's degree,a lot,"BBC, Voice of America, Radio Farda, Other Satellite Channels, Facebook, Blogs","Movies and Serials, Sports Programs, Documentary Programs, Comic Programs"
05/10/2022 11:16:05,very much,"Iran International, BBC, Instagram, Telegram",Tehran,urban,32,male,master's degree,a lot,"Internal television, Internal Newspapers, Other",Movie and Serial
05/10/2022 11:16:24,very much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram, Twitter",southern Khorasan,urban,35,male,bachelor's degree,little,BBC,Sports programs
05/10/2022 11:16:56,very much,"national televisioning, Iran International, BBC, manoto, Instagram",Alborz,urban,34,male,high school diploma,a lot,"Internal newspapers, BBC, News websites","Sports Programs, Speech / Discussion / Dialogue"
05/10/2022 11:17:22,much,"Iran International, manoto, Instagram, WhatsApp, Other",Semnan,urban,42,male,high school diploma,a lot,"Internal television, Internal newspapers, BBC, other satellite channels","Sports programs, documentary programs, comic programs"
05/10/2022 11:17:27,a little,Instagram,Golestan,urban,32,female,high school diploma,little,national television,Movie and Serial
05/10/2022 11:17:35,very much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram, Twitter",southern Khorasan,urban,35,male,bachelor's degree,some,BBC,Sports programs
05/10/2022 11:17:45,very much,Instagram,Tehran,urban,40,female,pdh and above,some,"Internal television, Facebook",Other plans
05/10/2022 11:18:02,very much,"Iran International, BBC, manoto, Voice of America, Instagram",Esfahan,urban,20,male,high school diploma,not at all,,Movie and Serial
05/10/2022 11:18:08,very much,"Iran International, manoto, Instagram",Hamedan,urban,42,male,high school diploma,very much,"BBC, Voice of America","Documentary programs, comic programs"
05/10/2022 11:18:21,a little,"Iran International, Manoto",Esfahan,urban,25,female,master's degree,very much,"BBC, Voice of America","Movie and Serial, Comic Programs"
05/10/2022 11:19:05,much,"Iran International, manoto, Radio Farda, Instagram, Twitter",Tehran,urban,29,male,master's degree,very little,"BBC, Voice of America, Facebook, Blogs","Movie and TV series, documentary programs, other apps"
05/10/2022 11:19:18,a little,"BBC, manoto, Radio Farda, Instagram",Fars,urban,37,female,bachelor's degree,very little,"Internal newspapers, BBC, Voice of America, Radioorda","Movies and Serials, Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs, Cooking Programs, Child Programs, Speech / Discussion / Dialogue"
05/10/2022 11:19:53,very much,"Iran International, BBC, Me, manoto, Radio Farda, other satellite channels, news websites, Instagram, WhatsApp, Twitter, Facebook",Mazandaran,urban,53,male,bachelor's degree,very much,"Internal television, BBC, Voice of America, other satellite channels","Movie and Serial, Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs, Cooking Programs, Lectures / Discussion / Dialogue"
05/10/2022 11:21:54,much,"Iran International, Instagram",Gilan,urban,30,male,pdh and above,a lot,"Internal television, Facebook",Sports programs
05/10/2022 11:22:52,much,"Iran International, BBC, Manoto",Tehran,urban,37,male,no high school diploma,very little,national television,"Movie and TV series, sports programs"
05/10/2022 11:22:57,a little,manoto,Tehran,urban,40,male,high school diploma,a lot,BBC,Documentary programs
05/10/2022 11:24:06,a little,"national television, Iran International, Manoto",Tehran,urban,42,male,bachelor's degree,very little,"Internal television, Internal Newspapers",Documentary programs
05/10/2022 11:25:12,much,"Iran International, BBC, manoto, Voice of America, Instagram, Telegram",Tehran,urban,31,male,bachelor's degree,very much,BBC,"Movie and TV series, sports programs, comic programs"
05/10/2022 11:25:20,much,Telegram,Golestan,urban,32,male,bachelor's degree,some,national television,"Movie and Serial, Documentary Programs"
05/10/2022 11:26:03,very much,"national television, Iran International, BBC, manoto, Radio Farda, Voice of America, News websites, Instagram",Tehran,urban,35,male,bachelor's degree,little,"Internal newspapers, BBC, Voice of America, News websites, Facebook","Movie and Serial, Sports Programs, Documentary Programs, Comic Programs, Lecture / Discussion / Dialogue"
05/10/2022 11:27:11,very much,Iran International,Esfahan,urban,35,male,pdh and above,very much,BBC,Documentary programs
05/10/2022 11:27:49,a little,"Iran International, BBC, manoto, Instagram, Other",Qazvin,urban,34,male,bachelor's degree,little,"Internal television, News websites, Facebook, Blogs, Other","Sports Programs, Educational Programs, Comic Programs"
05/10/2022 11:27:49,much,"manoto, Instagram, Telegram",Alborz,urban,40,male,bachelor's degree,some,"Internal television, Internal newspapers, BBC, other satellite channels","Documentary programs, comic programs, cooking programs, other apps"
05/10/2022 11:28:59,little,"Radio Farda, Instagram, Telegram, Twitter",Alborz,urban,32,male,pdh and above,little,Other,"Educational or lesson programs, art programs, documentary programs"
05/10/2022 11:29:14,very much,"Instagram, Telegram",Qom,urban,28,male,master's degree,very little,BBC,None
05/10/2022 11:29:27,a little,"Instagram, Telegram, Twitter",Khuzestan,urban,52,male,high school diploma,some,"Radio Farda, news websites","Movies and TV series, art programs, documentary programs, comic programs, cooking programs"
05/10/2022 11:29:35,a little,"BBC, manoto, radio",Tehran,urban,42,female,master's degree,very much,"Internal newspapers, Voice of America","Movie and Serial, Comic Programs"
05/10/2022 11:29:52,a little,Instagram,Khorasan Razavi,urban,42,male,bachelor's degree,a lot,"Internal television, BBC, Voice of America","Movie and Serial, Comic Programs"
05/10/2022 11:30:14,very much,"Iran International, Instagram",Alborz,urban,27,male,bachelor's degree,a lot,"Internal televisioning, BBC Newspapers, BBC News, other satellite channels, Instagram, others","Movie and Serial, Sports Programs, Educational Programs, Comic Programs, Lecture / Discussion / Dialogue, Other Programs"
05/10/2022 11:30:19,much,Instagram,Tehran,urban,30,male,no high school diploma,very little,national television,Other plans
05/10/2022 11:30:21,much,"Iran International, Radio Farda, Voice of America, Instagram, Telegram",Esfahan,urban,35,male,bachelor's degree,little,"BBC, news websites",Other plans
05/10/2022 11:30:29,a little,"BBC, Voice of America, Instagram",East Azarbaijan,urban,42,male,bachelor's degree,a lot,"Internal televisioning, Internal Newspapers, News websites","Movie and TV series, documentary programs, other apps"
05/10/2022 11:31:11,very much,"Iran International, BBC, manoto, Instagram, Other",Tehran,urban,37,male,bachelor's degree,a lot,"Internal newspapers, BBC, Voice of America, other satellite channels, Facebook","Documentary programs, lectures / discussions / conversation"
05/10/2022 11:31:14,very much,"Instagram, Telegram",Tehran,urban,38,male,master's degree,very much,"BBC, news websites","Movie and TV series, sports programs"
05/10/2022 11:31:14,much,"Iran International, Instagram, Telegram, WhatsApp",Lorestan,urban,32,male,bachelor's degree,a lot,"Internal television, Other","Movies and TV series, sports programs, training or textbooks"
05/10/2022 11:31:46,very much,"Iran International, Instagram",Tehran,urban,33,male,high school diploma,little,Other satellite channels,"Movie and TV series, sports programs"
05/10/2022 11:32:10,a little,"national television, Iran International, manoto, Instagram",Tehran,urban,36,male,associates degree,very little,"Internal television, Internal Newspapers","Movie and Serial, Comic Programs"
05/10/2022 11:32:31,much,"Iran International, BBC, manoto, Radio Farda, Instagram",Khuzestan,urban,30,male,high school diploma,a lot,"BBC, radio farda, Facebook, Instagram","Sports programs, documentary programs, comic programs, lectures / discussions / dialogue"
05/10/2022 11:32:42,very much,"Iran International, manoto, Radio Farda, Voice of America, Instagram, Telegram",Bushehr,urban,40,male,master's degree,a lot,"Voice of America, Radio, News websites, Facebook, Instagram","Movies and TV series, sports programs, training or textbooks"
05/10/2022 11:33:22,a little,"Iran International, manoto, Radio Farda, Voice of America, other satellite channels, Instagram",Khorasan Razavi,urban,22,female,bachelor's degree,some,"Voice of America, Radio Farda, Other Satellite Channels, Instagram","Movie and Serial, Educational or Lesson Programs, Documentary Programs, Comic Programs, Lecture / Discussion / Dialogue"
05/10/2022 11:33:41,a little,Instagram,Kerman,urban,26,male,high school diploma,very little,"Internal television, Internal Newspapers, Voice of America",Movie and Serial
05/10/2022 11:34:05,much,"Iran International, manoto, Radio Fardaorda",Khorasan Razavi,urban,40,female,high school diploma,some,"BBC, Voice of America",Speech / Discussion / Dialogue
05/10/2022 11:34:21,a little,"Iran International, manoto, Instagram",Tehran,urban,32,male,bachelor's degree,a lot,national television,"Movie and Serial, Sports Programs, Documentary Programs, Comic Programs, Lecture / Discussion / Dialogue"
05/10/2022 11:34:52,much,"Iran International, manoto, other satellite channels",North Khorasan,urban,31,male,high school diploma,some,Other satellite channels,"Movie and Serial, Comic Programs, Baby Programs"
05/10/2022 11:35:45,much,"Iran International, BBC, manoto, Instagram, Telegram",Markazi,urban,32,male,bachelor's degree,some,"BBC, Voice of America, News websites","Movie and TV series, documentary programs, comic programs, other apps"
05/10/2022 11:35:59,much,"Iran International, manoto, Instagram, Telegram, Twitter",Hamedan,urban,45,female,master's degree,very much,"BBC, radio farda, other satellite channels",Cooking programs or teaching programs
05/10/2022 11:36:35,much,"BBC, manoto, Instagram, Telegram",Qom,urban,23,male,bachelor's degree,very little,national television,Movie and Serial
05/10/2022 11:36:42,much,"News websites, Instagram",Tehran,urban,37,male,bachelor's degree,little,national television,Comic programs
05/10/2022 11:37:38,very much,Iran International,Tehran,urban,38,male,bachelor's degree,a lot,Radio Farda,Documentary programs
05/10/2022 11:38:40,much,"national televisioning, Iran International, manoto, Voice of America, other satellite channels, Instagram, telegram",Tehran,urban,28,male,associates degree,little,"Internal newspapers, BBC, Voice of America, Radio, Facebook","Movies and TV series, art programs, documentary programs, comic programs"
05/10/2022 11:38:50,much,"manoto, News websites, Instagram",Esfahan,urban,33,male,bachelor's degree,some,"Internal television, News websites","Movies and Serials, Sports Programs, Documentary Programs, Comic Programs"
05/10/2022 11:39:09,very much,"Iran International, BBC, manoto, Radio Farda, Instagram",Qom,urban,29,male,master's degree,a lot,News websites,"Movie and Serial, Comic Programs, Other Programs"
05/10/2022 11:39:46,very much,"Other satellite channels, Instagram, telegram",Alborz,urban,33,female,master's degree,some,"Internal newspapers, BBC, Voice of America",Educational programs
05/10/2022 11:41:04,much,"Iran International, Manoto",Kerman,urban,25,male,bachelor's degree,little,national television,"Movie and Serial, Documentary Programs"
05/10/2022 11:41:33,much,"Iran International, manoto, Twitter",Esfahan,urban,33,male,master's degree,very much,"Voice of America, Radio Farda","Movie and TV series, sports programs"
05/10/2022 11:42:04,very much,"Iran International, manoto, Instagram",Khorasan Razavi,urban,29,male,high school diploma,some,"BBC, Voice of America",Movie and Serial
05/10/2022 11:42:20,a little,"Iran International, News websites, Instagram",Tehran,urban,30,male,bachelor's degree,some,"Internal television, Internal Newspapers","Movie and TV series, sports programs"
05/10/2022 11:42:30,much,"Iran International, Instagram, Telegram, Twitter",Kordestan,urban,38,male,bachelor's degree,some,"BBC, Voice of America, News websites, Facebook","Movie and Serial, Sports Programs, Comic Programs, Lecture / Discussion / Dialogue"
05/10/2022 11:42:31,very much,"News websites, Instagram, Telegram",Tehran,urban,40,male,high school diploma,a lot,"Internal newspapers, news websites, Facebook","Movie and Serial, Comic Programs"
05/10/2022 11:42:40,a little,"Iran International, Manoto",Tehran,urban,36,male,associates degree,a lot,BBC,Sports programs
05/10/2022 11:42:42,very much,Instagram,Tehran,urban,37,male,high school diploma,some,national television,"Movie and Serial, Comic Programs, Speech / Discussion / Dialogue"
05/10/2022 11:43:18,a little,"manoto, Instagram",Tehran,urban,16,male,high school diploma,very little,"Internal television, Internal Newspapers","Art programs, documentary programs, cooking programs"
05/10/2022 11:43:22,very much,"Iran International, BBC, Instagram, Telegram",Tehran,urban,30,male,bachelor's degree,little,"Internal televisioning, Internal Newspapers, News websites","Movie and Serial, Comic Programs, Speech / Discussion / Dialogue"
05/10/2022 11:43:23,much,Iran International,Tehran,urban,43,female,no high school diploma,a lot,BBC,Movie and Serial
05/10/2022 11:44:02,very much,"Iran International, BBC, manoto, Radio Farda, Voice of America, other satellite channels, news websites, telegram, Twitter",Esfahan,urban,38,male,bachelor's degree,very much,"Internal newspapers, BBC, Voice of America, Radio, news websites, other satellite channels","Documentary programs, none"
05/10/2022 11:44:38,very much,"Iran International, manoto, Voice of America, Instagram",Khorasan Razavi,urban,35,male,bachelor's degree,very much,national television,Movie and Serial
05/10/2022 11:45:39,much,Instagram,Tehran,urban,26,male,bachelor's degree,very little,"BBC, Voice of America","Movie and Serial, Educational or Teaching Programs, Comic Programs, Speech / Discussion / Dialogue, Other Programs"
05/10/2022 11:46:32,very little,national television,Alborz,urban,37,female,associates degree,a lot,BBC,Cooking programs
05/10/2022 11:47:04,a little,"Iran International, Instagram, Telegram",Ardebil,urban,30,male,pdh and above,a lot,"Internal television, Internal Newspapers","Movie and TV series, sports programs, documentary programs"
05/10/2022 11:47:05,much,"Iran International, Voice of America, Instagram, Telegram",Tehran,urban,35,male,pdh and above,a lot,"Voice and Internal newspapers, BBC, Voice of America, Radio Farda, News websites, other satellite channels",Documentary programs
05/10/2022 11:47:28,very little,"Iran International, BBC, manoto, Radio Farda and I, Voice of America, other satellite channels, news websites, Instagram, telegram, WhatsApp, Twitter, Facebook, others",Tehran,urban,35,male,bachelor's degree,very little,"BBC, Voice of America, Radio, News websites, other satellite channels, Facebook, blogs, Instagram, Twitter, other",Sports programs
05/10/2022 11:49:04,a little,"BBC, Instagram, Telegram, WhatsApp",Tehran,urban,27,other,master's degree,a lot,BBC,"Movie and TV series, cooking programs, lectures / discussions / conversation"
05/10/2022 11:51:29,much,Instagram,Markazi,urban,36,male,bachelor's degree,some,national television,"Movie and Serial, Comic Programs, Baby Programs"
05/10/2022 11:51:49,much,"manoto, Voice of America, Instagram",Tehran,urban,28,male,bachelor's degree,very much,"Internal newspapers, Voice of America, Instagram","Movie and TV series, documentary programs, cooking programs"
05/10/2022 11:52:49,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram",Mazandaran,urban,36,male,master's degree,some,"BBC, Voice of America, Radio, news websites",None
05/10/2022 11:53:06,much,"Iran International, BBC, News websites, Instagram",Khorasan Razavi,urban,35,male,bachelor's degree,very much,"Internal television, Internal Newspapers","Movie and TV series, sports programs, documentary programs"
05/10/2022 11:53:44,much,"Iran International, Instagram",Yazd,urban,29,male,bachelor's degree,a lot,"BBC, Facebook",None
05/10/2022 11:55:01,little,"BBC, News websites, Instagram, Telegram",Alborz,urban,16,male,other,a lot,national television,"Movies and Serials, Sports Programs, Educational Programs, Documentary Programs, Cooking Programs, Lecture / Discussion / Dialogue"
05/10/2022 11:55:11,much,"manoto, telegram, Twitter",Ardebil,urban,20,male,high school diploma,little,BBC,Sports programs
05/10/2022 11:55:38,much,"News websites, Instagram, Telegram, others",Esfahan,urban,29,male,bachelor's degree,a lot,"News websites, other","Movies and TV series, sports programs, art programs, documentary programs, other programs"
05/10/2022 11:55:48,very much,"Iran International, manoto, Instagram, WhatsApp",Tehran,urban,55,female,associates degree,some,Other satellite channels,"Movie and TV series, cooking programs, lectures / discussions / conversation"
05/10/2022 11:56:04,very much,"Iran International, BBC, Voice of America, News websites",Khorasan Razavi,urban,45,male,master's degree,very much,"BBC, Voice of America, Radio, news websites",Speech / Discussion / Dialogue
05/10/2022 11:56:18,much,Iran International,Hormozgan,urban,26,male,bachelor's degree,some,national television,Comic programs
05/10/2022 11:56:20,much,"Voice of America, Instagram, Telegram",Fars,urban,30,male,bachelor's degree,some,Facebook,Sports programs
05/10/2022 11:56:23,a little,"Iran International, BBC, manoto, Instagram",Fars,urban,33,male,bachelor's degree,not at all,,"Movie and Serial, Documentary Programs"
05/10/2022 11:56:37,much,"Iran International, News websites, Instagram, Telegram",East Azarbaijan,urban,27,male,bachelor's degree,some,"Internal televisioning, Internal Newspapers, News websites","Movie and TV series, documentary programs, comic programs"
05/10/2022 11:56:38,very much,"Iran International, BBC, manoto, Radio Farda, Voice of America, News websites, Instagram, Telegram, Twitter, Facebook",Kermanshah,urban,28,male,high school diploma,very much,"Internal newspapers, BBC, Voice of America, News websites, Facebook",Speech / Discussion / Dialogue
05/10/2022 11:56:55,a little,Iran International,Khuzestan,urban,47,female,bachelor's degree,very little,BBC,Movie and Serial
